Name,Description,Priority,Status,Due Date,Assignee,Custom field (Timeline),Custom field (Guide),Custom field (Category),Checklist Items
CAREC: Phase 1 Setup - Week 1,"Receive SenseCAP Watcher W1-A Clear Enclosure, set up SenseCraft Mate app, pair via Bluetooth, configure WiFi, validate all built-in I/O","Urgent",To Do,2026-05-04,Vinod,Week 1,90-day Plan,Setup,"Receive and unbox SenseCAP Watcher W1-A Clear Enclosure ($59.99)
Download SenseCraft Mate app (iOS/Android — free)
Pair Watcher via Bluetooth in SenseCraft Mate
Configure WiFi (2.4GHz home network only)
Trigger OTA firmware update from app
Test built-in camera (120° FOV, OV5647, fixed focus 3m)
Test built-in 1W speaker output
Test 1.45" touch screen display
Clone Seeed OSHW-SenseCAP-Watcher repo for firmware reference"
Receive & Unbox SenseCAP Watcher W1-A Clear Enclosure,"Unbox device, verify all components, perform initial power-on test, document firmware version","High",To Do,2026-05-05,Vinod,Week 1,Quick Reference,Hardware,"Verify package contents (Watcher W1-A + USB-C cable)
First power-on: hold power button 3 seconds
Verify 1.45" touch screen lights up
Verify 1W speaker plays startup sound
Inspect OV5647 camera lens (no dust/scratches on clear enclosure)
Record firmware version shown on display or in SenseCraft Mate
Note SKU 113991315 on box for warranty reference"
Pair Watcher via SenseCraft Mate App (Bluetooth + WiFi),"Download SenseCraft Mate, pair device via Bluetooth, configure 2.4GHz WiFi, verify app connection","High",To Do,2026-05-05,Vinod,Week 1,Setup Guide,Setup,"Download SenseCraft Mate (iOS or Android)
Enable Bluetooth on phone
Open app → Add Device → SenseCAP Watcher
Follow pairing wizard on touch screen
Enter WiFi SSID + password (2.4GHz only — 5GHz not supported)
Verify device shows online in app
Check WiFi RSSI signal in app
Confirm OTA firmware check runs"
Flash Latest SenseCraft Firmware via OTA,"Trigger OTA update from SenseCraft Mate app, verify successful update, record new firmware version","High",To Do,2026-05-06,Vinod,Week 1,Setup Guide,Firmware,"Open SenseCraft Mate → Device Settings → Firmware
Check current firmware version
Tap 'Check for Updates'
Download and install latest SenseCraft firmware
Verify device reboots cleanly after update
Record new firmware version in docs/HARDWARE_STATUS_UPDATE.md
Confirm Himax HX6538 NPU AI firmware also updated"
Clone Seeed OSHW-SenseCAP-Watcher GitHub Repo,"Clone official Seeed open-source hardware/firmware repo for reference and CAREC custom firmware development","High",To Do,2026-05-06,Vinod,Week 1,Firmware,Firmware,"git clone https://github.com/Seeed-Studio/OSHW-SenseCAP-Watcher.git
Review repo directory structure
Locate firmware source files for ESP32-S3
Identify SenseCraft detection loop entry points
Review display API for 1.45 inch touch screen
Note customizable hooks for CAREC beep + alert logic
Bookmark wiki: https://wiki.seeedstudio.com/sensecap_watcher/"
